Obs_Date_Local,Observatory,Name,Catalog,BJD0_JD,Eclipse_Time_UTC,Type,Altitude_deg,Period_days,RAJ2000,DEJ2000,Mag
2026-06-07,ETAMU,KIC 04847343,Kepler,2455005.987387,2026-06-08 03:57:20.861,Secondary,31.0,11.416917,294.95163,39.92944,12.84
2026-06-07,ETAMU,KIC 08690104,Kepler,2454964.833394,2026-06-08 03:57:26.952,Secondary,34.5,0.4087744,292.15776,44.87343,14.87
2026-06-07,ETAMU,KIC 10684673,Kepler,2455026.598808,2026-06-08 03:57:28.814,Secondary,31.2,0.1925563,298.42667,47.97423,11.12
2026-06-07,ETAMU,KIC 09142964,Kepler,2454953.880266,2026-06-08 03:58:00.613,Secondary,38.8,0.5892528,286.20106,45.55617,13.24
2026-06-07,ETAMU,KIC 08816790,Kepler,2455001.99946,2026-06-08 03:58:14.273,Secondary,35.4,0.2458562,291.0336,45.02563,13.69
2026-06-07,ETAMU,KIC 12305537,Kepler,2454953.653484,2026-06-08 03:58:44.626,Primary,37.2,0.361815,290.28489,51.03359,11.91
2026-06-07,ETAMU,KIC 08553907,Kepler,2454957.88282,2026-06-08 03:59:37.040,Secondary,36.6,42.0322129,289.47923,44.63134,12.69
2026-06-07,ETAMU,KIC 06699679,Kepler,2454953.612834,2026-06-08 04:01:07.060,Secondary,33.0,0.2012033,294.09552,42.16157,11.57
2026-06-07,ETAMU,KIC 09948201,Kepler,2454964.901895,2026-06-08 04:01:15.005,Secondary,36.7,0.303181,290.49906,46.88497,14.37
2026-06-07,ETAMU,KIC 05263802,Kepler,2454958.146746,2026-06-08 04:01:51.496,Secondary,36.9,6.7005059,288.27093,40.4004,11.49
2026-06-07,ETAMU,KIC 11968513,Kepler,2455185.882996,2026-06-08 04:01:52.468,Secondary,35.0,1.0365914,294.36154,50.30523,14.44
2026-06-07,ETAMU,KIC 11197853,Kepler,2454999.774875,2026-06-08 04:02:25.010,Secondary,34.2,0.6984615,295.34216,48.85615,13.59
