#mu,eb,a_crit
0.180,0.07,0.360
0.001,0.20,0.628
0.210,0.79,0.056
0.120,0.19,0.319
0.200,0.04,0.365
0.100,0.24,0.319
0.040,0.35,0.292
0.080,0.27,0.319
0.020,0.32,0.354
0.060,0.32,0.289
0.230,0.76,0.064
0.140,0.15,0.316
0.160,0.12,0.322
0.180,0.08,0.358
0.120,0.20,0.318
0.210,0.80,0.054
0.200,0.05,0.361
0.100,0.25,0.316
0.040,0.36,0.291
0.080,0.28,0.317
0.140,0.16,0.316
0.230,0.77,0.061
0.120,0.21,0.317
0.020,0.33,0.332
0.060,0.33,0.289
0.160,0.13,0.320
0.180,0.09,0.354
0.220,0.00,0.380
0.200,0.06,0.357
0.001,0.21,0.565
0.100,0.26,0.313
0.040,0.37,0.291
0.140,0.17,0.316
0.080,0.29,0.314
0.230,0.78,0.058
0.020,0.34,0.332
0.120,0.22,0.317
0.060,0.34,0.288
0.160,0.14,0.316
0.180,0.10,0.346
0.220,0.01,0.372
0.100,0.27,0.285
0.200,0.07,0.355
0.140,0.18,0.315
0.040,0.38,0.289
0.080,0.30,0.287
0.230,0.79,0.055
0.020,0.35,0.331
0.060,0.35,0.287
0.120,0.23,0.312
0.160,0.15,0.313
0.180,0.11,0.320
0.100,0.28,0.285
0.140,0.19,0.315
0.220,0.02,0.367
0.200,0.08,0.353
0.040,0.39,0.287
0.001,0.22,0.565
0.080,0.31,0.286
0.230,0.80,0.053
0.120,0.24,0.309
0.020,0.36,0.330
0.060,0.36,0.286
0.160,0.16,0.312
0.100,0.29,0.284
0.180,0.12,0.319
0.140,0.20,0.315
0.220,0.03,0.364
0.200,0.09,0.345
0.040,0.40,0.263
0.080,0.32,0.285
0.240,0.00,0.375
0.120,0.25,0.284
0.100,0.30,0.283
0.020,0.37,0.329
0.060,0.37,0.261
0.160,0.17,0.312
0.180,0.13,0.316
0.140,0.21,0.313
0.220,0.04,0.362
0.040,0.41,0.263
0.200,0.10,0.318
0.001,0.23,0.560
0.080,0.33,0.284
0.240,0.01,0.374
0.120,0.26,0.282
0.020,0.38,0.316
0.160,0.18,0.312
0.100,0.31,0.282
0.060,0.38,0.261
0.180,0.14,0.313
0.040,0.42,0.262
0.140,0.22,0.309
0.220,0.05,0.358
0.200,0.11,0.317
0.240,0.02,0.368
0.080,0.34,0.282
0.120,0.27,0.282
0.020,0.39,0.294
0.100,0.32,0.279
0.160,0.19,0.311
0.060,0.39,0.260
0.180,0.15,0.309
0.220,0.06,0.353
0.140,0.23,0.280
0.040,0.43,0.260
0.200,0.12,0.315
0.080,0.35,0.259
0.240,0.03,0.360
0.120,0.28,0.281
0.001,0.24,0.554
0.100,0.33,0.277
0.020,0.40,0.294
0.160,0.20,0.307
0.140,0.24,0.280
0.060,0.40,0.259
0.180,0.16,0.309
0.220,0.07,0.349
0.040,0.44,0.241
0.080,0.36,0.258
0.200,0.13,0.313
0.120,0.29,0.280
0.240,0.04,0.358
0.100,0.34,0.256
0.020,0.41,0.293
0.160,0.21,0.280
0.140,0.25,0.279
0.060,0.41,0.257
0.180,0.17,0.308
0.040,0.45,0.240
0.220,0.08,0.319
0.080,0.37,0.258
0.120,0.30,0.277
0.200,0.14,0.309
0.240,0.05,0.354
0.020,0.42,0.292
0.001,0.25,0.544
0.100,0.35,0.256
0.140,0.26,0.279
0.160,0.22,0.278
0.060,0.42,0.239
0.040,0.46,0.239
0.220,0.09,0.316
0.180,0.18,0.308
0.080,0.38,0.257
0.120,0.31,0.273
0.200,0.15,0.305
0.240,0.06,0.349
0.020,0.43,0.290
0.100,0.36,0.255
0.140,0.27,0.279
0.060,0.43,0.237
0.160,0.23,0.277
0.040,0.47,0.238
0.220,0.10,0.315
0.180,0.19,0.305
0.080,0.39,0.256
0.120,0.32,0.256
0.200,0.16,0.305
0.240,0.07,0.317
0.100,0.37,0.253
0.020,0.44,0.265
0.140,0.28,0.276
0.060,0.44,0.238
0.001,0.26,0.540
0.160,0.24,0.277
0.040,0.48,0.222
0.220,0.11,0.314
0.080,0.40,0.237
